,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,x,y,c
4,08y9GfoqCWfOGsKdwojr5e,lady of the evening,0,163080,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,-0.9728551220222758,-1.5244185009102993,3,-1.3152882502934997,0,-0.36612662979955685,1.545529112641443,0.062012777266752486,0.5265952429156162,-1.382742179670397,-0.5121892710456935,4,-46.48293685913086,-5.1493239402771,71
5,0BRXJHRNGQ3W4v9frnSfhu,ave maria,0,178933,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,-2.0264204653608613,-1.1155633183213851,5,-0.4198851463765736,1,-0.3705737229226431,1.5598624668976242,0.500431983703351,-0.6305961735714463,-1.9342207501614619,0.014317357583945258,4,-51.1097526550293,29.03164291381836,57
6,0Dd9ImXtAtGwsmsAD69KZT,la butte rouge,0,134467,0,['Francis Marty'],['2nuMRGzeJ5jJEKlfS7rZ0W'],1922,-0.3226547958476062,-0.7424333458615993,4,-0.516165050023555,1,0.10637701452835688,1.476729012211772,-0.425119674329468,-0.31973321921275577,0.6780257368021964,-1.0990034357859948,5,-1.9965218305587769,-37.70862579345703,94
7,0IA0Hju8CAgYfV1hwhidBH,la java,0,161427,0,['Mistinguett'],['4AxgXfD7ISvJSTObqm4aIE'],1922,-0.0035750061507779825,-1.4212123383150395,4,-0.6977214397578625,1,-0.2983084596724916,1.5569957960463883,-0.42506159315254693,0.6025477972091882,0.39471865977300763,0.4913012518252171,3,-8.123656272888184,-28.52044105529785,84
8,0IgI1UCz84pYeVetnl1lGP,old fashioned girl,0,310073,0,['Greg Fieler'],['5nWlsH5RDgFuRAiDeOFVmf'],1922,-0.45510301043874274,-0.2660972108065534,0,-1.1820683019819629,0,-0.36112365003608493,0.4877275685352497,-0.4009504103848863,-0.5801419767907164,-0.03218241520248246,0.7219145821113405,4,-28.52045440673828,-17.84845542907715,68
20,0pXUGQcBxfoQXg2e7G9Wwk,ta bouche,0,180933,0,['Jeanne Saint Bonnet'],['4ZACxcKyd37u9WSxCAvLP2'],1922,-1.3762201391861912,-0.9448762032599937,7,-0.7576507675381263,1,-0.3016437795148063,1.565595808600097,-0.11335490530788692,-0.6072678890384207,-1.3090047212655396,-1.4073614115094857,3,-58.41899108886719,-13.241310119628906,71
36,1MD0Obbza9l0t0Zpgcwagy,and mimi,0,186147,0,"['Dick Haymes', 'Gordon Jenkins', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su', '58wzyK6DupVsypvs3QV2Fo', '6lXiGaWjISZnER53ZJe6QO']",1922,-1.6832591821020078,-1.2664030944221498,9,-1.0859848879342608,0,-0.33110577145525266,1.519729074980316,-0.1204745334466009,0.7110514462000049,-1.2663146137679906,-1.385254247854435,3,-50.19793701171875,4.0276713371276855,71
37,1O9iZyzufN1fUdVO97mmm5,how high the moon,0,175333,0,"['Dick Haymes', 'Harry James', 'His Orchestra']","['3BiJGZsyX9sJchTqcSA7Su', '5MpELOfAiq7aIBTij30phD', '6lXiGaWjISZnER53ZJe6QO']",1922,-1.4183627529197347,-0.9329677998836176,0,-0.26858815493131727,1,-0.3138732856032935,1.545529112641443,0.6128471648409404,-0.021348184488009264,-1.1382442912753434,-0.041656099329907305,4,-40.35493087768555,25.55992317199707,57
45,1kXWSsJkBVZ1jSoI8NnEDm,marta,0,177693,0,['Dick Haymes'],['3BiJGZsyX9sJchTqcSA7Su'],1922,-1.8578500104266873,-0.7900669593671037,0,0.16368896348370116,1,-0.41337699423234825,1.5397957709389705,-0.3677879319492975,0.607972979658729,-0.9286746726510119,-0.5835503889838818,4,-35.60761260986328,1.2730610370635986,71
46,1l1Wk0nOkuMCzioN6l2yfJ,carol of the bells,0,286370,0,['Grandcubby Trio'],['4XVZpokXbUzg6QeomBANY9'],1922,-1.0932625898324,0.8255064320279268,10,-0.2736968845125856,1,-0.170454532383762,-0.9370078445291894,2.3890070268148516,2.772620777025527,-0.800604350158365,1.0523461239767287,3,-14.414504051208496,37.12034606933594,45
